time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
13:47:06:842,0.7943,1.3632,0.9782,1.856
13:47:06:855,0.8696,1.4018,0.9084,1.883
13:47:06:863,1.0129,1.4459,0.8633,1.965
13:47:06:877,1.1857,1.3564,0.8563,1.995
13:47:06:883,1.2494,1.4421,0.8532,2.090
13:47:06:892,1.3354,1.6742,0.9784,2.354
13:47:06:903,1.4830,1.7770,1.1715,2.594
13:47:06:917,1.7716,2.0397,1.3449,3.018
13:47:06:924,1.9866,1.9042,1.2751,3.033
13:47:06:933,1.9588,2.4291,0.9273,3.255
13:47:06:943,1.2434,4.1872,0.4982,4.396
13:47:06:957,1.2407,6.1867,-0.4018,6.323
13:47:06:963,1.9578,4.8450,-0.1745,5.229
13:47:06:973,2.7815,2.4067,0.5631,3.721
13:47:06:983,2.3905,2.8550,1.0905,3.880
13:47:06:997,1.3782,2.2762,1.4409,3.026
13:47:07:003,1.1858,0.7332,1.6163,2.135
13:47:07:013,1.1124,-0.9752,1.9339,2.435
13:47:07:025,0.8863,-1.2098,5.6196,5.816
13:47:07:039,0.5498,-0.9929,3.0735,3.276
13:47:07:042,-0.0477,-1.7327,1.8791,2.556
13:47:07:054,-1.1035,-1.7730,0.9748,2.305
13:47:07:064,-1.7450,-0.4772,0.6499,1.922
13:47:07:077,-0.9673,1.2165,-0.0989,1.557
13:47:07:083,0.1301,1.5125,-0.6434,1.649
13:47:07:093,0.5275,1.6338,-1.3454,2.181
13:47:07:103,0.0538,1.4524,-1.6080,2.167
13:47:07:118,0.1825,0.2618,-1.2737,1.313
13:47:07:125,0.2451,-0.3234,-0.9571,1.040
13:47:07:133,0.1751,-0.7576,-0.5873,0.974
13:47:07:142,-0.0534,-1.0213,-0.3480,1.080
13:47:07:158,-0.4811,-1.3573,-0.1416,1.447
13:47:07:162,-0.5052,-1.4473,-0.3048,1.563
13:47:07:173,-0.6414,-1.6262,-0.2756,1.770
13:47:07:183,-0.5983,-1.7658,-0.3617,1.899
13:47:07:197,-0.1882,-1.4860,-0.5129,1.583
13:47:07:202,0.0143,-1.3580,-0.7926,1.572
13:47:07:213,0.2264,-1.3711,-1.1506,1.804
13:47:07:225,0.5391,-1.2578,-1.4131,1.967
13:47:07:238,0.3939,-1.3870,-1.6629,2.201
13:47:07:242,0.4537,-1.4628,-2.0158,2.532
13:47:07:253,0.6687,-1.5381,-2.5506,3.053
13:47:07:263,0.9485,-1.4251,-2.9031,3.370
13:47:07:277,1.2910,-1.2519,-3.0983,3.582
13:47:07:282,1.2446,-1.1645,-3.1513,3.583
13:47:07:294,1.0781,-1.0537,-3.1783,3.518
13:47:07:303,0.8758,-0.8934,-2.8728,3.133
13:47:07:317,0.8831,-0.8130,-1.8529,2.208
13:47:07:325,0.7556,-0.8551,-1.5224,1.903
13:47:07:333,0.4748,-1.1760,-0.5420,1.379
13:47:07:342,0.1887,-1.4380,0.9118,1.713
13:47:07:358,-0.0550,-1.8938,2.9125,3.475
13:47:07:362,-0.0818,-2.0244,3.4843,4.031
13:47:07:372,0.1092,-2.2088,3.7135,4.322
13:47:07:383,0.3798,-2.0866,3.5698,4.152
13:47:07:402,1.0346,-1.1023,3.8744,4.159
13:47:07:404,1.0678,-1.0753,3.8457,4.133
13:47:07:412,1.4013,-0.4722,4.0324,4.295
13:47:07:423,1.6173,-0.0617,3.6190,3.964
13:47:07:435,1.0042,0.0824,2.6247,2.811
13:47:07:442,0.6648,0.0222,2.2255,2.323
13:47:07:453,0.2769,0.0433,1.7186,1.741
13:47:07:462,0.0686,-0.0316,1.3273,1.329
13:47:07:476,-0.2265,-0.2805,0.4808,0.601
13:47:07:481,-0.1650,-0.3504,0.1791,0.427
13:47:07:491,-0.5592,-0.5652,-0.3984,0.889
13:47:07:502,-1.1461,-0.7982,-0.7088,1.566
13:47:07:517,-1.6718,-1.3650,-0.2994,2.179
13:47:07:525,-1.7665,-1.2003,0.2413,2.149
13:47:07:534,-1.6320,1.2245,1.2340,2.384
13:47:07:541,-2.3327,4.1885,1.8202,5.128
13:47:07:556,-6.4514,8.0375,1.6071,10.431
13:47:07:563,-6.8155,7.9216,0.3874,10.457
13:47:07:573,-4.8080,6.1905,-7.4819,10.836
13:47:07:581,-3.3835,1.8088,-6.3320,7.404
13:47:07:596,-2.2080,-3.1110,-0.9651,3.935
13:47:07:603,-1.1765,-2.8700,0.4336,3.132
13:47:07:611,0.5887,-1.2764,0.4354,1.472
13:47:07:626,1.2432,0.2496,-0.3312,1.311
13:47:07:636,0.7098,1.4707,-1.6655,2.333
