v01,v02,v03,v1,v3_1,v3_2,v3_3,v4_1,v4_2,v4_3,v4_4,v4_5,v4_6,v5_1,v5_2,v5_3,v6_1,v6_2,v6_3,v7_1,v7_2,v7_3,v7_4,v7_5,v7_6,v7_7,v7_8,v8_1,v8_2,v8_3,v8_4,v9_1,v9_2,v9_3,a8_1,a8_2,a8_3,a9_1,a9_2,a9_3,v10_1,v10_2,v10_3,v11_1,v11_2,v11_3,v12,v13,v14
0,1,128,1,2,2,2,4,4,4,4,4,4,4,5,3,3,5,3,4,2,3,5,3,4,1,1,3,4,4,5,5,5,5,2,2,1,2,1,1,4,2,3,3,4,4,1,24,4
0,1,129,2,3,3,4,2,4,4,3,4,3,4,4,4,4,3,3,3,2,4,4,4,3,2,2,3,3,2,2,3,4,3,4,4,5,4,5,4,4,3,4,4,3,4,2,21,1
0,1,132,2,2,4,4,4,4,4,3,3,3,4,2,4,4,4,4,3,2,3,3,2,2,1,1,4,4,4,3,4,4,3,3,3,4,2,2,2,5,4,4,4,5,2,2,20,4
0,1,135,2,4,3,4,2,3,3,4,4,2,5,5,5,4,4,3,3,3,4,4,4,4,2,2,3,3,3,3,4,4,4,4,3,4,3,3,3,2,2,4,3,3,3,2,20,3
0,1,136,2,3,3,4,4,4,4,4,4,4,2,2,2,3,4,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,4,4,4,4,1,20,2
0,2,1,2,4,4,4,4,4,4,4,1,2,5,5,5,1,3,3,2,1,1,1,1,1,1,1,5,5,5,5,5,5,3,1,1,1,2,1,1,4,2,4,5,5,3,1,24,5
0,2,2,2,4,4,5,5,5,3,5,2,2,5,5,5,4,5,4,3,2,4,3,2,2,2,2,3,3,3,2,4,4,4,3,3,4,2,4,3,4,4,2,4,4,4,2,24,3
0,2,3,2,3,3,3,3,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,3,2,1,1,1,1,2,4,4,4,2,1,24,6
0,2,4,2,2,2,3,4,3,3,3,2,1,5,5,5,1,2,2,2,3,3,3,2,3,2,3,2,2,2,2,3,3,3,3,2,4,3,3,3,4,2,3,2,4,3,2,22,7
0,2,6,1,4,3,4,4,4,4,4,2,3,3,2,2,1,2,1,4,2,2,2,2,2,1,1,3,3,3,2,4,3,2,3,3,3,3,3,3,2,4,4,3,3,2,1,28,4
0,2,7,2,3,3,3,4,3,2,2,2,2,3,4,2,4,4,2,2,2,2,2,2,2,2,2,4,3,4,2,4,4,4,4,2,4,4,4,3,3,2,2,4,4,3,1,23,3
0,2,8,2,2,3,3,3,3,4,4,2,2,4,4,3,4,4,3,3,2,4,4,3,2,1,1,3,2,3,3,4,3,3,4,3,5,4,4,4,2,2,2,4,3,4,2,21,4
0,2,9,2,2,4,4,4,4,4,4,2,2,3,3,2,3,3,3,4,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,1,24,4
0,2,10,1,3,4,4,4,3,3,4,2,2,4,4,4,2,3,2,3,2,3,2,2,4,4,4,3,3,3,1,2,2,2,2,2,3,3,3,3,2,2,4,4,4,3,1,25,6
0,2,12,2,2,2,3,2,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,3,2,2,2,3,3,3,3,3,3,4,4,4,1,25,4
0,2,15,1,3,4,3,3,3,3,3,4,4,2,2,2,4,4,4,2,2,2,2,2,2,2,2,4,4,4,3,4,4,3,4,4,4,4,2,4,2,2,2,4,4,4,1,37,4
0,2,16,2,3,2,3,4,4,3,4,4,3,5,5,5,4,4,4,2,2,3,3,3,3,1,1,3,3,3,3,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,2,22,3
0,2,17,1,4,3,4,2,4,5,5,4,3,5,4,4,4,4,4,2,2,4,3,3,3,2,2,4,4,4,3,4,4,4,4,4,4,4,4,4,5,3,3,5,4,4,2,25,6
0,2,19,2,2,2,2,2,2,2,2,4,2,1,2,1,1,1,1,3,2,2,2,2,1,1,1,2,3,3,3,4,4,2,3,3,2,2,3,2,1,3,3,4,4,2,1,24,5
0,2,21,1,2,3,3,2,2,1,2,4,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,3,2,3,3,3,3,3,4,4,3,3,3,2,22,3
0,2,22,2,4,4,5,4,4,4,4,4,2,5,5,5,4,5,5,3,2,4,3,2,2,1,1,3,3,3,3,4,4,4,3,3,4,3,4,3,5,5,3,5,2,3,1,23,5
0,2,23,1,3,3,5,4,4,3,3,4,3,5,5,5,5,4,4,2,2,2,2,2,2,1,1,4,3,3,4,4,4,4,2,2,3,3,4,4,4,4,3,4,4,4,2,22,3
0,2,24,2,4,4,4,3,4,4,2,2,3,4,4,2,2,2,2,3,3,3,3,3,2,2,2,4,3,3,4,4,4,2,2,2,2,3,3,3,3,2,2,3,3,3,1,24,3
0,2,25,1,3,3,4,3,4,4,4,2,2,2,2,2,4,4,2,3,2,2,2,2,2,2,2,4,4,3,3,4,3,3,2,2,2,2,2,2,4,4,4,4,4,4,1,24,3
0,2,26,2,2,5,4,5,4,2,1,2,1,5,5,3,2,4,3,2,2,2,2,2,2,1,3,4,5,4,4,4,5,4,2,2,1,2,2,2,4,3,2,4,4,3,1,24,7
