v1기능성,v2경제성,v3브랜드,v4환경과기술,v5내연기관전기차구매의도
-0.627,-1.631,-0.644,-1.618,1
0.685,1.194,0.324,0.524,1
-0.592,-0.286,0.324,-0.823,1
0.354,-0.15,-0.346,-0.823,1
0.167,-0.15,0.324,0.131,1
-0.053,-0.286,0.591,-0.461,1
0.253,1.194,1.559,0.524,1
-0.003,0.147,-0.365,-2.019,1
0.678,-0.421,-0.625,-1.813,0
-0.147,-0.286,-0.911,-3.303,0
-6.168,-0.15,-0.911,-1.418,1
0.685,1.194,-0.079,1.276,1
0.678,-0.286,-0.644,-0.068,1
-5.102,1.194,1.559,1.276,0
0.434,-0.286,-0.346,-0.823,0
0.623,-0.286,1.559,1.276,1
0.551,1.194,1.559,0.08,1
-1.569,-0.854,-0.911,-2.17,1
0.177,-1.631,-0.911,-1.219,1
0.483,1.059,-1.549,-0.683,1
0.103,-0.286,0.61,0.306,1
0.685,1.194,-0.314,0.473,1
0.685,1.194,1.559,0.303,1
-1.162,-0.286,-0.612,-1.023,1
0.045,1.194,-0.353,-0.228,1
-0.037,-0.15,0.324,-0.823,1
0.434,1.194,-0.911,-0.666,1
0.474,-0.286,0.623,-0.071,1
0.412,0.147,0.219,-0.823,1
0.418,0.147,0.591,0.125,1
0.63,1.194,1.559,1.083,0
0.678,1.194,1.559,1.276,1
0.143,-1.631,-0.923,-0.27,1
