time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.916463,-2.0203,-1.3596,0.1406,2.439
1.923959,-1.7439,-1.3237,0.1893,2.198
1.938529,-1.7552,-1.4986,0.6313,2.393
1.945518,-1.8072,-1.5786,0.7352,2.510
1.955450,-1.8057,-1.7114,1.0127,2.686
1.964669,-1.7211,-1.6335,1.1737,2.647
1.983254,-1.5591,-1.4693,1.1361,2.425
1.984675,-1.6344,-1.4692,0.6878,2.303
1.994788,-1.6570,-1.4057,0.3775,2.205
2.004486,-1.6306,-1.2499,0.1641,2.061
2.018354,-1.8889,-1.2408,0.0925,2.262
2.024264,-1.9908,-1.1876,0.2632,2.333
2.034645,-2.2740,-1.2144,0.5403,2.634
2.044282,-2.8578,-1.2292,0.6757,3.183
2.059258,-3.7756,-1.4274,0.9338,4.143
2.063957,-4.2069,-1.3102,1.1808,4.562
2.074837,-5.2369,-1.9635,1.7264,5.853
2.084417,-5.6243,-2.4259,2.2886,6.539
2.100030,-5.8256,-2.8092,3.7517,7.477
2.104854,-5.5678,-2.5269,4.4835,7.582
2.119284,-4.6495,-2.0863,5.0780,7.194
2.124737,-3.8513,-1.7365,4.8164,6.407
2.138775,-3.0733,-1.0366,3.6718,4.899
2.143661,-2.8893,-0.8090,3.1054,4.318
2.154682,-2.6447,-0.5419,1.4564,3.067
2.164529,-2.1646,-0.5798,-0.1015,2.243
2.178943,-1.4386,-0.5934,-1.5939,2.228
2.184278,-1.2003,-0.7904,-1.9487,2.421
2.195070,-0.9223,-1.2299,-1.7951,2.363
2.204751,-0.7101,-1.2800,-0.6860,1.617
2.219010,-0.6814,-1.2707,0.3617,1.487
2.224356,-0.6534,-1.2037,0.5147,1.463
2.234990,-0.5988,-1.2515,0.6403,1.528
2.244571,-0.3804,-1.2220,0.6034,1.415
2.259274,-0.0871,-1.2572,0.3130,1.298
2.264691,0.0572,-1.2669,0.2129,1.286
2.275008,0.3852,-1.2713,0.2156,1.346
2.285034,0.7687,-1.2546,0.2436,1.491
2.300529,1.4584,-1.1605,0.1937,1.874
2.304459,1.6188,-1.1714,0.2889,2.019
2.316999,1.8618,-1.1144,0.1830,2.178
2.324684,2.2734,-0.8857,0.2555,2.453
2.337955,2.5197,-0.6458,0.2670,2.615
2.344249,2.6780,-0.5933,0.3018,2.760
2.354688,2.5909,-0.5564,0.4075,2.681
2.364507,2.3891,-0.5577,0.2954,2.471
2.381049,2.1673,-0.5641,0.1062,2.242
2.384179,1.8912,-0.7468,0.0917,2.035
2.394989,1.6932,-0.6709,0.0211,1.821
2.405693,1.0975,-0.7028,-0.0625,1.305
2.419937,-0.4257,-0.7177,1.8719,2.049
2.424337,-1.6739,-1.0698,4.4298,4.855
2.435118,-2.5037,-1.7737,5.1106,5.961
2.444333,-1.9188,-1.4839,3.7778,4.489
2.458635,-1.2947,-1.6467,2.5064,3.267
2.465447,-1.2285,-1.4695,2.1623,2.889
2.474263,-1.1886,-0.8586,1.4691,2.076
2.483829,-0.9522,-0.3150,0.2481,1.033
2.500497,-0.9136,0.3559,-0.7813,1.254
2.504601,-1.0235,0.3623,-0.9552,1.446
2.518579,-1.2731,0.0757,-1.0078,1.626
2.524683,-1.0282,-0.1909,-0.5640,1.188
2.538889,-0.7225,-0.0547,-0.0458,0.726
2.544286,-0.5129,-0.0031,0.0424,0.515
2.555135,-0.4056,-0.0375,0.0495,0.410
2.564799,-0.2260,-0.2599,-0.2065,0.402
2.578900,0.1956,-0.4335,-0.5141,0.700
2.585057,0.3247,-0.5213,-0.4986,0.791
2.594732,0.4145,-0.6015,-0.4609,0.864
2.604613,0.8150,-0.5842,-0.2529,1.034
2.619216,0.9083,-0.6358,-0.5414,1.234
2.624933,0.8627,-0.7105,-0.7017,1.320
2.634546,0.6582,-0.7744,-1.0317,1.448
2.645777,0.3915,-0.8423,-1.2874,1.588
2.659055,-0.0958,-0.8869,-1.4151,1.673
2.664597,-0.3288,-0.8884,-1.4021,1.692
2.675036,-0.7459,-0.7871,-1.2492,1.654
2.685712,-1.1593,-0.6926,-1.0647,1.720
2.699435,-1.3384,-0.5775,-0.7909,1.658
2.704486,-1.3301,-0.5000,-0.8576,1.660
2.716845,-1.3493,-0.3034,-0.7851,1.590
2.724741,-1.5202,-0.1036,-0.5737,1.628
2.738982,-1.5388,0.2149,-0.1258,1.559
2.743732,-1.5504,0.3129,-0.0405,1.582
2.754372,-1.4497,0.4080,-0.0328,1.506
2.764413,-1.3162,0.4547,-0.0455,1.393
2.779517,-1.1454,0.4711,0.1589,1.249
2.784107,-1.1027,0.4003,0.0285,1.173
2.795942,-1.1213,0.2437,-0.3393,1.197
2.804631,-1.1212,0.2210,-0.6117,1.296
2.820936,-0.9390,0.1045,-1.2419,1.560
2.826395,-0.8622,0.0284,-1.4380,1.677
2.834788,-0.6893,-0.0571,-1.7134,1.848
2.844207,-0.4836,-0.1835,-1.8008,1.874
2.859470,-0.2005,-0.3817,-1.5711,1.629
2.863855,-0.0629,-0.5420,-1.2789,1.390
2.874670,0.0975,-0.8288,-0.6537,1.060
2.884414,0.2994,-1.2069,0.5876,1.375
2.898871,0.3973,-1.3278,2.8107,3.134
2.904358,0.4343,-1.3023,3.6278,3.879
2.918777,0.3836,-1.3734,4.1876,4.424
2.924594,0.4758,-1.3160,3.8661,4.112
2.938442,0.0631,-1.2989,2.6940,2.991
2.944635,-0.0317,-1.3756,2.3274,2.704
2.955401,-0.1775,-1.4929,1.4318,2.076
2.965084,-0.0291,-1.9250,1.0733,2.204
2.982039,1.0522,-1.9005,2.0136,2.962
2.984227,1.0610,-1.8724,2.5755,3.356
2.994702,0.9305,-1.6199,3.1026,3.622
3.004342,0.9425,-1.3783,2.2922,2.836
3.019991,0.4745,-1.4770,-0.3031,1.581
3.024024,0.3367,-1.7107,-1.1916,2.112
3.036433,0.6538,-2.0610,-2.3630,3.203
3.044827,1.3754,-1.9964,-2.6188,3.569
3.058359,1.9066,-1.2706,-2.2687,3.224
3.065065,1.7950,-0.9202,-1.9936,2.836
3.074039,1.0865,-0.5283,-1.7338,2.113
3.085694,0.0493,-0.2498,-1.5255,1.547
3.100708,-1.1344,0.2925,-1.8758,2.212
3.104592,-1.5108,0.3720,-2.1233,2.632
3.118626,-2.2882,0.6501,-2.7024,3.600
3.124278,-2.8448,0.9799,-3.1102,4.327
3.139301,-3.5265,1.4471,-3.2960,5.039
3.144281,-3.6321,1.5070,-2.7803,4.816
3.155039,-3.6569,1.2928,-1.5058,4.161
3.165744,-3.2943,0.9217,0.1730,3.425
3.179353,-2.2588,-0.1148,2.6861,3.511
3.183897,-1.9213,-0.4009,3.2116,3.764
3.194639,-1.3421,-0.6382,3.2429,3.567
3.204579,-0.6800,-0.6776,2.5585,2.733
3.220515,0.3565,-0.6886,0.9107,1.196
3.224580,0.7868,-0.7499,0.2877,1.124
3.234971,1.1244,-0.8680,-0.3465,1.462
3.245543,1.3461,-0.9991,-0.4668,1.740
3.259976,1.2669,-0.7934,-0.1626,1.504
3.264968,1.1210,-0.7683,-0.0048,1.359
3.274809,0.9080,-0.7127,0.1375,1.162
3.284660,0.7518,-0.5728,-0.2160,0.970
3.299663,0.8425,-0.3266,-0.8587,1.247
3.304847,1.0654,-0.2597,-1.2197,1.640
3.317011,1.4342,-0.1287,-1.7480,2.265
3.325697,1.8124,-0.2253,-2.0428,2.740
3.339646,2.3632,-0.5324,-2.2321,3.294
3.344036,2.4288,-0.6554,-2.2428,3.370
3.354592,2.1550,-0.7102,-2.2482,3.194
3.364746,1.7672,-0.7217,-2.2077,2.919
3.379338,0.9902,-0.6712,-2.2085,2.512
3.384906,0.7886,-0.7055,-2.1933,2.435
3.395397,0.7798,-0.9735,-2.0294,2.382
3.405020,0.8642,-1.1385,-1.6326,2.170
3.418500,1.1296,-1.0684,-1.1954,1.961
3.424939,1.1817,-1.0360,-1.1604,1.954
3.434979,1.1490,-0.8847,-1.1351,1.842
3.444307,0.7721,-0.6086,-0.8596,1.306
3.459772,0.0811,-0.1639,-0.1206,0.219
3.465633,-0.0297,0.0894,0.2834,0.299
3.474329,0.2526,0.6967,1.1196,1.343
3.484981,0.4465,1.1558,1.5224,1.963
3.500030,-1.6764,-0.4846,1.2114,2.124
3.504656,-2.9626,-0.7582,1.8511,3.575
3.519445,-5.2094,-0.2030,1.8192,5.522
3.524650,-7.3999,-0.0016,3.0518,8.004
3.538779,-6.9623,0.0449,5.3605,8.787
3.544615,-5.5683,0.0320,4.8996,7.417
3.554930,-3.0391,-0.2184,2.0605,3.678
3.567574,-1.8081,-0.3755,-0.1491,1.853
3.579745,-0.4307,-0.2807,-2.3935,2.448
3.584078,0.1916,-0.3838,-3.0077,3.038
3.595211,1.0209,-0.5267,-3.5194,3.702
3.605125,1.2891,-0.6636,-3.4513,3.744
3.620280,1.1896,-0.8503,-2.5674,2.955
3.624313,1.1360,-0.9457,-2.2626,2.703
3.634766,1.0948,-1.0805,-1.9737,2.502
3.644496,1.0700,-1.1506,-2.0223,2.561
3.658437,0.9389,-1.1368,-1.9323,2.431
3.664824,0.9318,-1.2740,-1.8967,2.468
3.674389,1.3647,-1.4101,-1.2640,2.334
3.684545,1.7737,-1.0891,0.5951,2.165
3.700866,1.5892,-0.2320,4.1912,4.488
3.703729,1.2830,0.0702,5.0944,5.254
3.722354,0.5911,0.4307,6.1702,6.213
3.727628,-0.2243,0.4743,6.2524,6.274
3.738794,-1.1344,-0.0679,4.5998,4.738
3.743802,-1.2610,-0.2905,3.8884,4.098
3.754521,-1.5714,-0.3792,2.6077,3.068
3.764856,-1.8414,-0.2951,1.9152,2.673
3.779115,-2.2202,0.0795,0.9792,2.428
3.784981,-2.3734,0.1045,0.8563,2.525
3.794569,-2.6841,0.4292,1.5645,3.136
3.804090,-3.0689,0.4089,2.2458,3.825
3.822166,-3.1446,-0.1987,2.0586,3.764
