성별,졸업시기,급여,안정성,직무내용,근로시간,발전가능성,승진제도,직장만족도,전공적합도,이직
0,0,300,4,2,3,1,1,3,3,1
1,0,174,5,4,3,3,1,3,1,0
0,0,220,3,3,5,3,4,3,3,0
1,0,280,4,5,5,4,4,5,3,0
1,0,180,5,5,5,4,3,4,5,1
1,0,237,5,3,4,3,3,3,1,0
1,0,200,4,4,4,4,3,4,4,0
0,0,200,3,4,3,4,4,4,4,0
0,0,180,4,4,4,3,3,4,1,0
0,0,183,4,4,4,4,3,3,4,0
1,0,190,4,4,4,3,3,4,1,0
0,0,180,3,2,4,3,3,3,4,0
1,0,180,3,3,4,3,3,4,4,0
0,0,240,4,4,4,4,3,4,4,0
0,0,210,5,4,5,4,4,4,4,0
0,1,300,4,4,4,4,4,4,3,0
0,0,230,4,4,4,4,4,4,1,0
0,0,233,3,3,4,3,3,4,3,0
0,0,185,4,4,4,3,3,3,4,0
1,0,170,3,4,4,4,4,4,4,0
0,0,166,4,4,4,4,3,3,2,0
0,1,200,3,3,4,3,3,3,1,1
0,0,170,3,4,3,4,3,4,3,0
0,0,200,3,4,4,4,3,3,3,1
0,0,416,4,4,4,4,4,4,4,0
0,0,160,5,5,5,5,5,4,4,0
0,0,158,4,5,5,4,3,4,4,0
0,0,179,4,4,4,4,4,3,5,0
0,0,200,3,3,3,3,3,3,2,0
0,0,180,4,5,5,5,4,4,2,0
0,0,181,5,4,4,4,3,3,3,0
0,0,240,3,3,3,3,3,3,3,0
1,0,240,3,4,4,3,3,4,3,0
0,0,200,3,4,3,2,2,4,5,0
0,0,190,3,3,3,3,3,3,4,0
0,0,170,4,4,4,4,4,4,3,0
0,0,400,5,4,5,5,4,4,4,0
0,0,283,3,3,3,3,3,3,5,0
0,0,210,1,1,1,1,1,5,1,1
0,0,240,4,4,4,4,3,4,5,0
0,0,280,5,4,4,5,4,4,4,0
0,0,200,5,3,4,5,5,5,4,0
0,0,250,3,3,2,5,3,4,5,0
0,1,160,4,4,3,3,3,3,3,0
0,0,233,5,5,5,5,5,4,4,0
1,0,180,3,4,4,5,3,4,5,1
0,0,200,3,2,4,2,2,2,1,1
1,0,180,3,3,3,3,3,4,1,0
0,0,160,2,4,5,3,2,3,1,0
0,0,300,4,5,3,4,5,4,5,0
0,0,200,4,4,4,5,3,4,1,0
0,0,170,3,3,3,3,3,3,1,0
0,0,190,5,5,5,5,5,5,5,0
0,0,200,3,4,4,4,3,4,4,0
1,0,180,5,4,5,4,4,4,5,0
0,0,250,3,3,2,5,3,5,4,0
0,0,200,5,3,2,4,3,2,4,0
1,0,183,4,5,4,4,5,4,3,0
0,0,200,4,4,3,4,3,3,3,0
0,0,220,2,5,2,5,3,5,5,0
0,0,170,3,5,5,3,3,3,5,0
1,0,160,4,4,4,4,3,4,5,0
0,0,190,3,3,3,3,3,3,3,0
1,0,200,3,3,2,3,3,3,2,0
0,0,250,5,5,5,5,5,5,5,0
0,0,250,4,4,2,4,5,4,5,0
1,0,200,4,4,2,3,2,3,4,0
0,0,220,3,3,3,3,3,4,4,1
0,0,230,2,1,2,2,2,2,3,1
0,0,250,5,4,4,3,4,4,3,1
0,0,420,4,4,4,3,3,5,4,0
1,0,180,1,4,4,4,3,2,4,1
1,0,200,3,5,3,3,3,4,1,1
0,0,220,3,3,3,3,3,4,4,0
1,0,165,2,2,2,2,2,2,1,0
1,0,160,5,5,4,5,4,4,4,0
1,0,170,3,3,3,2,3,3,2,1
1,0,160,3,4,4,5,2,4,5,0
1,0,185,4,4,4,1,3,2,2,1
1,0,280,5,4,4,3,4,4,4,0
0,0,185,4,4,4,5,2,4,4,0
1,0,180,3,4,5,4,1,4,5,0
0,0,333,4,4,4,4,4,4,4,0
0,0,200,3,3,3,3,3,3,1,0
1,0,153,4,3,4,4,3,3,3,0
0,0,230,5,5,3,4,4,4,3,0
0,0,250,5,5,4,5,4,5,5,0
1,0,200,4,4,4,4,3,3,3,0
1,0,160,3,3,3,3,3,3,3,1
1,0,157,4,3,4,3,2,3,1,0
0,1,200,4,4,3,3,4,3,1,0
1,0,160,2,2,2,2,2,2,4,1
0,0,220,5,4,4,4,2,3,4,0
1,0,330,5,4,3,4,4,4,5,1
1,0,283,4,4,4,3,4,4,4,0
1,0,260,5,4,4,3,4,4,4,1
1,0,300,3,3,2,3,3,3,4,0
1,0,250,5,4,5,4,5,4,4,0
1,0,300,4,4,4,4,4,4,4,0
0,0,250,3,2,3,1,1,2,2,0
0,0,320,5,1,1,4,3,3,5,1
1,0,300,5,4,2,2,2,4,5,1
1,0,200,3,3,4,3,3,3,4,0
1,0,180,3,3,4,2,1,3,5,0
1,0,220,5,4,4,4,4,4,3,0
1,0,250,4,3,3,3,3,3,3,1
1,0,300,4,4,4,2,3,4,5,0
0,0,260,3,3,3,3,2,3,4,1
1,0,180,5,5,5,5,5,4,5,0
1,0,216,3,3,4,3,3,3,5,1
1,0,260,4,4,4,4,4,4,4,0
1,0,190,4,4,4,3,3,3,4,0
1,0,170,4,3,2,4,4,3,4,0
1,0,300,3,3,3,3,3,3,4,0
1,0,160,3,3,2,3,2,2,3,1
0,0,250,5,5,5,5,3,4,4,0
1,0,200,4,4,4,4,4,4,3,1
0,0,350,5,5,4,5,3,5,5,0
0,0,190,4,4,4,3,4,4,2,0
0,0,250,5,5,5,5,5,5,5,0
